date,day,time
9/1/2019,216,1.57
9/2/2019,217,1.22
9/3/2019,218,1.39
9/4/2019,219,1.02
9/5/2019,220,1.03
9/6/2019,221,0.9
9/7/2019,222,0.97
9/8/2019,223,1.32
9/9/2019,224,0.98
9/10/2019,225,0.77
9/11/2019,226,0.94
9/12/2019,227,1.12
9/13/2019,228,0.53
9/14/2019,229,0.94
9/15/2019,230,1.53
9/16/2019,231,1.26
9/17/2019,232,1.13
9/18/2019,233,1
9/19/2019,234,1.02
9/20/2019,235,0.76
9/21/2019,236,0.99
9/22/2019,237,1.37
9/23/2019,238,1.06
9/24/2019,239,1.29
9/25/2019,240,1.23
9/26/2019,241,1.02
9/28/2019,242,1.09
9/29/2019,243,1.57
9/30/2019,244,1.08
10/1/2019,245,1.52
10/2/2019,246,1.01
10/3/2019,247,1.33
10/4/2019,248,0.6
10/5/2019,249,1.06
10/6/2019,250,1.58
10/7/2019,251,1.29
10/8/2019,252,1.26
10/9/2019,253,0.99
10/10/2019,254,1.01
10/11/2019,255,0.84
10/12/2019,256,1.08
10/13/2019,257,1.52
10/14/2019,258,1.2
10/15/2019,259,1.44
10/16/2019,260,1.1
10/17/2019,261,1.12
10/19/2019,262,0.83
10/20/2019,263,1.03
10/21/2019,264,0.79
10/22/2019,265,1
10/23/2019,266,0.75
10/24/2019,267,1.02
10/25/2019,268,0.49
10/26/2019,269,0.83
10/27/2019,270,1.44
10/28/2019,271,0.81
10/29/2019,272,0.7
10/30/2019,273,1.01
10/31/2019,274,0.95
11/1/2019,275,0.59
11/2/2019,276,0.91
11/3/2019,277,1.22
11/4/2019,278,0.86
11/5/2019,279,1.21
11/6/2019,280,0.95
11/7/2019,281,1.3
11/8/2019,282,0.4
11/9/2019,283,0.9
11/10/2019,284,1.4
11/11/2019,285,1.3
11/12/2019,286,1.38
11/13/2019,287,1.14
11/14/2019,288,1.15
11/16/2019,289,0.78
11/17/2019,290,1.1
11/18/2019,291,1.11
11/19/2019,292,1.61
11/20/2019,293,0.87
11/21/2019,294,0.88
11/22/2019,295,0.8
11/23/2019,296,1.09
11/24/2019,297,1.72
11/25/2019,298,1.19
11/26/2019,299,1.32
11/27/2019,300,0.98
11/28/2019,301,1.19
11/29/2019,302,1.46
11/30/2019,303,1.1
12/1/2019,304,1.7
12/2/2019,305,1.28
12/3/2019,306,1.04
12/4/2019,307,1.01
12/5/2019,308,0.91
12/6/2019,309,0.98
12/7/2019,310,1.02
12/8/2019,311,1.51
12/9/2019,312,0.72
12/10/2019,313,1.21
12/11/2019,314,1.02
12/12/2019,315,1.21
12/14/2019,316,0.86
12/15/2019,317,1.57
12/16/2019,318,1.06
12/17/2019,319,1.52
12/18/2019,320,1.4
12/19/2019,321,1.13
12/21/2019,322,0.96
12/22/2019,323,1.89
12/23/2019,324,0.84
12/24/2019,325,1.4
12/25/2019,326,1
12/26/2019,327,0.76
12/27/2019,328,0.86
12/28/2019,329,1.13
12/29/2019,330,1.79
12/30/2019,331,1.29
12/31/2019,332,1.37
1/1/2020,333,0.95
1/2/2020,334,1.41
1/3/2020,335,0.66
1/4/2020,336,0.85
1/5/2020,337,1.48
1/6/2020,338,1.53
1/7/2020,339,1.11
1/8/2020,340,0.94
1/9/2020,341,0.86
1/10/2020,342,1.32
1/11/2020,343,0.89
1/12/2020,344,1.85
1/13/2020,345,1.12
1/14/2020,346,1.47
1/15/2020,347,1.04
1/16/2020,348,0.81
1/17/2020,349,1.19
1/18/2020,350,1.03
1/19/2020,351,1.38
1/20/2020,352,1
1/21/2020,353,1.12
1/22/2020,354,0.87
1/23/2020,355,0.82
1/24/2020,356,0.78
1/25/2020,357,1.13
1/26/2020,358,1.73
1/27/2020,359,1.18
1/28/2020,360,1.54
1/29/2020,361,1
1/30/2020,362,0.88
1/31/2020,363,1.46
2/1/2020,364,0.76
2/2/2020,365,1.57
2/3/2020,366,1.13
2/4/2020,367,1.3
2/5/2020,368,1.38
2/6/2020,369,1.1
2/7/2020,370,0.93
2/8/2020,371,0.65
2/9/2020,372,1.44
2/10/2020,373,0.91
2/11/2020,374,1.4
2/12/2020,375,1.03
2/13/2020,376,1.02
2/14/2020,377,0.9
2/15/2020,378,0.79
2/16/2020,379,1.65
2/17/2020,380,1.13
2/18/2020,381,1.42
2/19/2020,382,1.31
2/20/2020,383,1.23
2/21/2020,384,1.19
2/22/2020,385,1.28
2/23/2020,386,1.5
2/24/2020,387,1.15
2/25/2020,388,1.21
2/26/2020,389,1.3
2/27/2020,390,0.97
2/28/2020,391,1
2/29/2020,392,1.18
3/1/2020,393,1.59
3/2/2020,394,0.88
3/3/2020,395,1.4
3/4/2020,396,0.98
3/5/2020,397,1.06
3/6/2020,398,0.79
3/7/2020,399,0.86
3/8/2020,400,1.52
3/9/2020,401,0.97
3/10/2020,402,1.36
3/11/2020,403,1.02
3/12/2020,404,1.22
3/14/2020,405,0.86
3/15/2020,406,1.17
3/16/2020,407,0.98
3/17/2020,408,0.56
3/18/2020,409,0.83
3/19/2020,410,0.78
3/21/2020,411,0.73
3/22/2020,412,0.7
3/23/2020,413,0.45
3/24/2020,414,0.69
3/25/2020,415,0.54
3/26/2020,416,0.49
3/27/2020,417,1.06
3/28/2020,418,0.52
3/29/2020,419,0.93
3/30/2020,420,0.82
3/31/2020,421,0.78
4/1/2020,422,0.65
4/2/2020,423,0.69
4/4/2020,424,0.86
4/5/2020,425,1.23
4/6/2020,426,0.98
4/7/2020,427,0.5
4/8/2020,428,0.65
4/9/2020,429,0.48
4/11/2020,430,1.13
4/12/2020,431,1.08
4/13/2020,432,1.2
4/14/2020,433,1.61
4/15/2020,434,0.87
4/16/2020,435,0.72
4/18/2020,436,1.3
4/19/2020,437,0.7
4/20/2020,438,1.21
4/21/2020,439,1.17
4/22/2020,440,1.34
4/23/2020,441,0.92
4/25/2020,442,1.1
4/26/2020,443,0.81
4/27/2020,444,1.01
4/28/2020,445,0.69
4/29/2020,446,1.33
4/30/2020,447,1.61
5/2/2020,448,1.44
5/3/2020,449,1.05
5/4/2020,450,1.16
5/5/2020,451,1.24
5/6/2020,452,1.34
5/7/2020,453,1.05
5/9/2020,454,0.89
5/10/2020,455,1.08
5/11/2020,456,1.08
5/12/2020,457,0.9
5/13/2020,458,1.14
5/14/2020,459,0.52
5/16/2020,460,0.72
5/17/2020,461,0.88
5/18/2020,462,0.83
5/19/2020,463,1.09
5/20/2020,464,1.24
5/21/2020,465,0.7
5/30/2020,466,0.54
5/31/2020,467,0.83
6/1/2020,468,2.09
6/2/2020,469,1.48
6/3/2020,470,1.23
6/4/2020,471,0.7
6/6/2020,472,1.21
6/7/2020,473,1.5
6/8/2020,474,1.08
6/9/2020,475,1.21
6/10/2020,476,1.02
6/11/2020,477,1.45
6/13/2020,478,1.34
6/14/2020,479,1.86
6/15/2020,480,1.27
6/16/2020,481,1.57
6/17/2020,482,1.77
6/18/2020,483,1.07
6/20/2020,484,1.22
6/21/2020,485,1.43
6/22/2020,486,1.11
